timestamp,can_id,dlc,data_hex,valid,soc,current,gear,motor_active,accelerator,brake,cap_voltage,speed,odometer,range,battery_voltage,available_energy,charging_status,motor_temp,power_request
1753350311.747209492,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350311.798057009,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350311.849177006,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350311.900150841,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350311.951023830,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.001957868,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.052621910,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.103669748,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.154679769,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.205955446,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.256905721,0x423,8,03 2D FF FF 00 E0 00 E4,0,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.307762964,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.358583276,0x423,8,03 2D FF FF 00 E0 00 E4,0,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.410332497,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.460341153,0x423,8,03 2D FF FF 00 E0 00 E4,0,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.511216419,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.562683159,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.613382832,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.664396031,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.715943666,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.766666310,0x599,8,00 00 0D AE FF 20 00 00,1,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,32,0.0,0.0,0x00,0,0.0
1753350312.817514282,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.868969198,0x599,8,00 00 0D AE FF 20 00 00,1,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,32,0.0,0.0,0x00,0,0.0
1753350312.919251375,0x155,8,07 97 CD 54 8E A0 00 71,1,91,-0.8,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350312.970984969,0x155,8,07 97 CD 54 8E A0 00 71,1,91,-0.8,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.022365284,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.073320076,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.123788197,0x424,8,11 40 0E 28 41 64 00 42,0,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.174587085,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.226398433,0x659,4,FF FF FF FF,0,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.277349474,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.330120567,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.378575489,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.430093470,0x155,8,07 97 CE 54 8E A0 00 72,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.484784210,0x155,8,07 97 CD 54 8E A0 00 71,1,91,-0.8,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.531517529,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.583052543,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.634359146,0x59B,8,20 00 64 00 40 14 00 90,1,0,0.0,Neutral,0,0,0,10.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.685374673,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.736368688,0x59B,8,20 00 64 00 40 14 00 90,1,0,0.0,Neutral,0,0,0,10.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.787388435,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.837898697,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.889114039,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.939845211,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350313.990851206,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.041918707,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.093141900,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.144212315,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.195460875,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.246209326,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.296794008,0x155,8,07 97 CD 54 8E A0 00 71,1,91,-0.8,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.348097106,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.398923326,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.449962592,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.500629159,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.551954603,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.602977147,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.653463954,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.704734287,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.755623588,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.806912882,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350314.858008977,0x423,8,03 2D FF FF 00 E0 00 E4,0,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895596626,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895629442,0x423,8,03 2D FF FF 00 E0 00 E4,0,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895643610,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895647673,0x423,8,03 2D FF FF 00 E0 00 E4,0,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895651372,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895654653,0x5D7,7,00 00 00 55 7F 80 00,1,0,0.0,Unknown,0,0,0,0.0,0.0,3502.0,0,0.0,0.0,0x00,0,0.0
1753350315.895657779,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895661269,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895664863,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895667988,0x599,8,00 00 0D AE FF 20 00 00,1,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,32,0.0,0.0,0x00,0,0.0
1753350315.895671582,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895674760,0x599,8,00 00 0D AE FF 20 00 00,1,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,32,0.0,0.0,0x00,0,0.0
1753350315.895678302,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895681948,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895685334,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895688563,0x436,6,00 00 00 14 00 00,0,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895691480,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895694814,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895698512,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.895702211,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.928498498,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350315.979575930,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.030555166,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.081576067,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.132583268,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.183585729,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.234586888,0x59B,8,20 00 64 00 40 14 00 90,1,0,0.0,Neutral,0,0,0,10.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.285527571,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.336534512,0x196,8,00 FF E7 7F 70 48 0B 00,1,0,0.0,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,32,8092500.0
1753350316.387632973,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.438596472,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.489610965,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.540619521,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.591619586,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.642633663,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.693597318,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.744593945,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.795609480,0x19F,8,FF FF 7D 0F 38 FF 40 FE,1,0,0.0,Unknown,0,0,0,0.0,1.7,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.846692732,0x155,8,07 97 CE 54 8E A0 00 72,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.897693578,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
1753350316.948700571,0x155,8,07 97 CE 54 8E A0 00 71,1,91,-0.5,Unknown,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0x00,0,0.0
