timestamp,soc,current,gear,motor_active,accelerator,brake,cap_voltage,motor_speed,odometer,range,battery_voltage,available_energy,charging_status,motor_temp,power_request
1753441104.334551900,70,32.8,Neutral,0,0,0,24.0,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753441097.909109294,70,32.2,Neutral,0,0,0,24.0,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753441096.327592518,70,32.2,Neutral,0,0,0,24.0,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753441125.142500980,70,32.5,Neutral,0,0,0,24.0,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753441131.160729396,70,32.5,Neutral,0,0,0,24.0,-0.0,3506.0,30,57.5,4.2,0x0A,0,0.0
1753441137.178769322,70,32.2,Neutral,0,0,0,24.0,-0.0,3506.0,30,57.5,4.2,0x0A,0,0.0
1753441097.909109294,70,32.2,Neutral,0,0,0,24.0,-0.0,3506.0,30,57.5,4.2,0x0A,0,0.0
