timestamp,soc,current,gear,motor_active,accelerator,brake,cap_voltage,motor_speed,odometer,range,battery_voltage,available_energy,charging_status,motor_temp,power_request
1753440764.371795258,69,-0.8,Neutral,0,0,0,15.5,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440770.236868569,69,-0.8,Neutral,0,0,0,15.5,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440776.407935012,69,-0.8,Neutral,0,0,0,15.5,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440782.425005295,69,-0.8,Neutral,0,0,0,15.5,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440788.443051613,69,-0.8,Neutral,0,0,0,15.5,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440794.461064882,69,-0.8,Neutral,0,0,0,15.0,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440800.428161431,69,-1.8,Neutral,0,0,1,15.0,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440806.089180510,69,-0.8,Neutral,0,0,0,15.0,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440812.209135921,69,-0.8,Neutral,0,0,0,15.0,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440818.278156335,69,-0.5,Neutral,0,0,0,27.5,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
1753440824.398192952,69,-1.5,Neutral,0,0,1,27.0,-0.0,3506.0,30,57.5,4.2,0x2A,0,0.0
