timestamp,soc,current,gear,motor_active,accelerator,brake,cap_voltage,speed,odometer,range,battery_voltage,available_energy,charging_status,motor_temp,power_request
1753352813.312966147,87,-1.0,Neutral,1,0,0,57.0,0.0,3503.8,29,0.0,0.0,0x00,0,0.0
1753352819.381060415,87,-1.0,Neutral,1,0,0,57.0,0.0,3503.8,29,0.0,0.0,0x00,0,0.0
1753352825.450075621,87,-1.0,Neutral,1,0,0,57.0,0.0,3503.8,29,57.5,5.3,0x2A,0,0.0
1753352831.468067234,87,-1.0,Neutral,1,0,0,57.0,0.0,3503.8,29,57.5,5.3,0x2A,0,0.0
1753352837.282093221,87,-1.0,Neutral,1,0,0,57.0,0.0,3503.8,29,57.5,5.3,0x2A,0,0.0
1753352843.402073896,87,-1.0,Neutral,1,0,0,57.0,0.0,3503.8,29,57.5,5.3,0x2A,0,0.0
1753352849.471053216,87,-1.0,Neutral,1,0,0,57.0,0.0,3503.8,29,57.5,5.3,0x2A,0,0.0
1753352855.132091287,87,-1.0,Neutral,1,0,1,57.0,56.3,3503.8,29,57.5,5.3,0x2A,0,0.0
1753352861.201014670,87,-1.5,Reverse,1,0,0,57.0,284.2,3503.8,29,57.5,5.3,0x2A,0,0.0
1753352867.320977324,87,-9.8,Drive,1,41,0,57.0,84.5,3503.8,29,57.5,5.3,0x2A,0,0.0
1753352873.440984509,87,-1.8,Drive,1,35,0,57.0,366.1,3503.8,29,57.5,5.2,0x2A,0,0.0
1753352879.509999924,87,-3.8,Drive,1,13,0,57.0,422.4,3503.8,29,57.5,5.2,0x2A,0,0.0
1753352885.170043463,86,-55.0,Drive,1,77,0,56.0,593.9,3503.8,29,57.5,5.2,0x2A,0,0.0
1753352891.239061013,86,-23.2,Drive,1,20,0,57.0,307.2,3503.9,29,57.5,5.2,0x2A,0,0.0
1753352897.410055333,86,-15.2,Drive,1,30,0,57.0,161.3,3503.9,29,57.5,5.2,0x2A,0,0.0
1753352903.479050279,86,-23.0,Drive,1,75,0,56.0,133.2,3503.9,29,57.5,5.2,0x2A,0,0.0
1753352909.548078402,86,16.5,Drive,1,18,0,56.5,184.4,3503.9,29,57.5,5.2,0x2A,0,0.0
1753352915.208985691,86,-1.2,Drive,1,19,0,57.0,184.4,3503.9,29,57.5,5.2,0x2A,0,0.0
1753352921.329007616,86,-81.2,Drive,1,73,0,56.0,532.5,3504.0,29,57.5,5.2,0x2A,0,0.0
1753352927.500055895,86,-65.5,Drive,1,60,0,56.0,532.5,3504.0,29,57.5,5.2,0x2A,0,0.0
1753352933.569014174,86,-2.5,Drive,1,54,0,56.0,468.6,3504.0,29,57.5,5.2,0x2A,0,0.0
1753352938.669115161,86,2.8,Drive,1,5,0,57.0,361.0,3504.1,29,57.5,5.2,0x2A,0,0.0
1753352945.503090055,86,-17.2,Drive,1,18,0,56.5,419.9,3504.1,29,57.5,5.2,0x2A,0,0.0
1753352950.399072345,86,-10.0,Drive,1,38,0,56.5,419.9,3504.1,29,57.5,5.2,0x2A,0,0.0
1753352957.538073331,86,-4.0,Drive,1,0,0,57.0,504.4,3504.1,29,57.5,5.2,0x2A,0,0.0
1753352957.538073331,86,-4.0,Drive,1,27,0,56.5,15.4,3504.1,29,57.5,5.2,0x2A,0,0.0
1753352968.452078848,86,-21.8,Drive,1,29,0,56.5,102.4,3504.2,29,57.5,5.2,0x2A,0,0.0
1753352975.592076970,86,-8.5,Drive,1,52,0,56.5,102.4,3504.2,29,57.5,5.2,0x2A,0,0.0
1753352981.610041083,86,-7.0,Drive,1,52,0,56.5,245.8,3504.2,29,57.5,5.2,0x2A,0,0.0
1753352977.479048324,86,5.2,Drive,1,52,0,56.5,307.2,3504.2,29,0.0,0.0,0x00,0,0.0
1753352993.646368630,86,-2.0,Drive,1,52,0,56.5,225.3,3504.2,29,0.0,0.0,0x00,0,0.0
1753352999.664387794,86,-10.0,Drive,1,34,0,56.5,140.8,3504.2,29,0.0,0.0,0x00,0,0.0
1753353005.682382532,86,-2.2,Reverse,1,40,0,56.5,368.6,3504.2,29,0.0,0.0,0x00,0,0.0
1753353009.507710082,86,-1.0,Drive,1,36,0,56.5,396.8,3504.2,29,57.5,5.2,0x2A,0,0.0
1753353015.270562059,86,-64.8,Drive,1,67,0,56.0,563.2,3504.2,29,57.5,5.2,0x2A,0,0.0
1753353023.735920442,86,2.8,Drive,1,0,1,57.0,20.5,3504.3,29,57.5,5.2,0x2A,0,0.0
1753353029.754101116,85,-1.0,Drive,1,47,0,56.5,79.4,3504.3,29,57.5,5.2,0x2A,0,0.0
1753353035.720442156,85,-12.8,Drive,1,65,0,56.0,389.2,3504.3,29,57.5,5.2,0x2A,0,0.0
1753353041.789488195,85,-25.8,Drive,1,0,0,57.0,386.6,3504.3,29,57.5,5.2,0x2A,0,0.0
1753353047.654389287,85,-19.0,Drive,1,39,0,56.5,614.5,3504.3,29,57.5,5.2,0x2A,0,0.0
1753353053.774346472,85,0.8,Drive,1,0,0,57.0,647.7,3504.4,29,57.5,5.2,0x2A,0,0.0
1753353059.843219907,85,1.0,Drive,1,48,0,56.5,358.5,3504.4,29,57.5,5.2,0x2A,0,0.0
1753353065.861916467,85,-2.0,Drive,1,18,0,56.5,105.0,3504.4,29,57.5,5.2,0x2A,0,0.0
1753353071.879644902,85,11.2,Drive,1,0,0,57.0,473.6,3504.4,29,57.5,5.2,0x2A,0,0.0
1753353077.745071411,85,0.2,Drive,1,66,0,56.0,18.0,3504.4,29,57.5,5.2,0x2A,0,0.0
1753353081.366115888,85,-25.0,Drive,1,42,0,56.5,586.3,3504.5,29,57.5,5.2,0x2A,0,0.0
1753353089.882429114,85,2.5,Drive,1,42,0,56.5,586.3,3504.5,28,57.5,5.2,0x2A,0,0.0
1753353095.950370049,85,-47.0,Drive,1,77,0,55.5,558.1,3504.5,31,57.5,5.2,0x2A,0,0.0
1753353101.611918068,85,6.8,Drive,1,3,1,56.5,473.6,3504.5,31,57.5,5.2,0x2A,0,0.0
1753353107.782838170,85,-89.2,Drive,1,43,0,56.5,506.9,3504.6,31,57.5,5.1,0x2A,0,0.0
1753353114.004422282,85,-15.8,Drive,1,34,0,56.5,12.9,3504.6,31,57.5,5.1,0x2A,0,0.0
1753353120.023107384,85,-60.5,Drive,1,52,0,56.0,125.5,3504.6,31,57.5,5.1,0x2A,0,0.0
1753353126.041071392,85,-8.2,Drive,1,51,0,56.0,123.0,3504.6,31,57.5,5.1,0x2A,0,0.0
1753353131.752600348,85,11.0,Drive,1,0,0,56.5,48.7,3504.7,30,57.5,5.1,0x2A,0,0.0
1753353137.821484617,85,-28.8,Drive,1,48,0,56.5,76.8,3504.7,30,57.5,5.1,0x2A,0,0.0
1753353143.941872635,84,-45.2,Drive,1,61,0,56.0,276.5,3504.7,30,57.5,5.1,0x2A,0,0.0
1753353149.858103518,84,-6.2,Drive,1,26,0,56.5,212.6,3504.8,30,57.5,5.1,0x2A,0,0.0
1753353156.130431745,84,18.8,Drive,1,0,1,57.0,212.6,3504.8,30,57.5,5.1,0x2A,0,0.0
1753353161.791910649,84,3.5,Drive,1,28,0,56.5,194.6,3504.8,30,57.5,5.1,0x2A,0,0.0
1753353167.910317314,84,-40.5,Drive,1,56,0,56.0,445.5,3504.8,30,57.5,5.1,0x2A,0,0.0
1753353174.030745384,84,-23.2,Drive,1,42,0,56.5,527.4,3504.9,30,57.5,5.1,0x2A,0,0.0
1753353180.202177257,84,7.0,Drive,1,20,0,56.5,181.9,3504.9,30,57.5,5.1,0x2A,0,0.0
1753353186.220782255,84,8.2,Drive,1,10,0,56.5,266.3,3504.9,30,57.5,5.1,0x2A,0,0.0
1753353191.829541992,84,4.5,Drive,1,1,1,56.5,617.0,3505.0,30,57.5,5.1,0x2A,0,0.0
1753353198.204326260,84,-67.0,Drive,1,68,0,56.0,302.1,3505.0,30,57.5,5.1,0x2A,0,0.0
1753353204.069395946,84,30.0,Drive,1,16,0,56.5,466.0,3505.0,32,57.5,5.1,0x2A,0,0.0
1753353210.190124589,84,6.8,Drive,1,0,1,57.0,642.6,3505.0,32,57.5,5.1,0x2A,0,0.0
1753353215.799932452,84,-146.2,Drive,1,38,0,56.0,15.4,3505.1,32,57.5,5.1,0x2A,0,0.0
1753353221.920107606,84,-36.8,Drive,1,46,0,56.0,69.2,3505.1,32,57.5,5.1,0x2A,0,0.0
1753353227.529518801,84,-0.8,Drive,1,51,0,56.0,210.0,3505.1,32,57.5,5.1,0x2A,0,0.0
1753353234.158190986,84,5.2,Drive,1,7,1,56.5,496.7,3505.1,32,57.5,5.1,0x2A,0,0.0
1753353240.074345307,84,-1.5,Drive,1,98,0,55.5,496.7,3505.1,32,57.5,5.1,0x2A,0,0.0
1753353246.347233794,84,-27.8,Drive,1,28,0,56.5,46.1,3505.2,32,57.5,5.1,0x2A,0,0.0
1753353252.365271969,84,-14.5,Drive,1,28,0,56.5,642.6,3505.2,32,57.5,5.1,0x2A,0,0.0
1753353258.383244206,84,0.5,Drive,1,28,0,56.5,186.9,3505.2,32,0.0,0.0,0x00,0,0.0
1753353261.750230455,84,-7.5,Drive,1,0,1,56.5,563.2,3505.3,32,0.0,0.0,0x00,0,0.0
