timestamp,soc,current,gear,motor_active,accelerator,brake,cap_voltage,motor_speed,odometer,range,battery_voltage,available_energy,charging_status,motor_temp,power_request
1754296757.545453311,96,20.2,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296763.613528656,96,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296769.579665154,96,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296775.649352135,96,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296781.667679107,96,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296787.685482285,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296793.705498529,97,20.8,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296799.721787899,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296805.739590664,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296811.757359164,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296817.775295234,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296823.742406208,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296829.812017631,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296833.687230902,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296841.846364210,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,57.5,5.8,0x0A,0,0.0
1754296847.865242818,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,0.0,0.0,0x00,0,0.0
1754296853.780765753,97,20.5,Unknown,0,0,0,0.0,0.0,3581.2,37,0.0,0.0,0x00,0,0.0
1754296859.900645930,97,20.2,Unknown,0,0,0,0.0,0.0,3581.2,38,57.5,5.8,0x0A,0,0.0
