timestamp,can_id,dlc,data_hex,data_bytes,gps_lat,gps_lon,gps_alt,gps_speed,gps_valid
1755520480.984175269,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520480.995073358,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.005859726,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.017279023,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.031788020,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.038688475,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.050438612,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.061139041,5D7,7,FF FF 00 57 DD C0 00,FF FF 00 57 DD C0 00,33.986115,-6.725142,170.2,0.4,13
1755520481.072215780,436,6,00 00 00 EE 00 00,00 00 00 EE 00 00,33.986115,-6.725142,170.2,0.4,13
1755520481.086236745,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.094241598,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.104901244,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.116020484,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.127198006,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.138465425,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.149198615,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.160258790,5D7,7,FF FF 00 57 DD C0 00,FF FF 00 57 DD C0 00,33.986115,-6.725142,170.2,0.4,13
1755520481.171456000,599,8,00 00 0E 0F FF 25 FF FF,00 00 0E 0F FF 25 FF FF,33.986115,-6.725142,170.2,0.4,13
1755520481.182239660,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.193171031,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.203872970,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.215084347,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.226259785,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.241859742,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.247794603,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.258858425,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.270435122,599,8,00 00 0E 0F FF 25 FF FF,00 00 0E 0F FF 25 FF FF,33.986115,-6.725142,170.2,0.4,13
1755520481.281078258,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.292249842,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.303687369,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.314307119,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.324900827,597,8,00 D4 06 B1 2D 00 01 60,00 D4 06 B1 2D 00 01 60,33.986115,-6.725142,170.2,0.4,13
1755520481.336789405,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.347100294,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.358221982,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.369213041,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.380102172,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.391245995,628,3,00 00 00,00 00 00,33.986115,-6.725142,170.2,0.4,13
1755520481.401877516,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.412890347,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.424233549,423,8,03 2A FF FF 00 E0 00 E2,03 2A FF FF 00 E0 00 E2,33.986115,-6.725142,170.2,0.4,13
1755520481.434874706,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.445874203,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.457921170,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.468051118,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.479235307,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.490099541,628,3,00 00 00,00 00 00,33.986115,-6.725142,170.2,0.4,13
1755520481.559850248,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.571258452,599,8,00 00 0E 0F FF 25 FF FF,00 00 0E 0F FF 25 FF FF,33.986115,-6.725142,170.2,0.4,13
1755520481.582089091,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.592997910,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.604056054,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.615186492,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.626443755,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.637419970,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.648784736,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.659104740,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.670230333,599,8,00 00 0E 0F FF 25 FF FF,00 00 0E 0F FF 25 FF FF,33.986115,-6.725142,170.2,0.4,13
1755520481.681118474,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.692101461,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.703247732,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.714638852,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.725149589,597,8,00 D4 06 B1 2D 00 01 60,00 D4 06 B1 2D 00 01 60,33.986115,-6.725142,170.2,0.4,13
1755520481.735886113,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.746901652,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.757869586,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.769797696,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.780170097,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.791470486,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.802312168,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.813278175,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.824223973,423,8,03 2A FF FF 00 E0 00 E2,03 2A FF FF 00 E0 00 E2,33.986115,-6.725142,170.2,0.4,13
1755520481.835126281,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.846040100,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.857262779,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.868259515,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.879255054,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.890254864,628,3,00 00 00,00 00 00,33.986115,-6.725142,170.2,0.4,13
1755520481.903522637,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.912009687,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.923252367,423,8,03 2A FF FF 00 E0 00 E2,03 2A FF FF 00 E0 00 E2,33.986115,-6.725142,170.2,0.4,13
1755520481.934242228,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.945403812,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.956090543,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.967236762,5D7,7,FF FF 00 57 DD C0 00,FF FF 00 57 DD C0 00,33.986115,-6.725142,170.2,0.4,13
1755520481.978077610,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.989152005,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520481.999937956,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520482.011225741,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520482.022195446,423,8,03 2A FF FF 00 E0 00 E2,03 2A FF FF 00 E0 00 E2,33.986115,-6.725142,170.2,0.4,13
1755520482.032908583,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
1755520482.043862923,155,8,01 97 CE 54 9B 38 00 73,01 97 CE 54 9B 38 00 73,33.986115,-6.725142,170.2,0.4,13
