timestamp,soc,current,gear,motor_active,accelerator,brake,cap_voltage,motor_speed,odometer,range,battery_voltage,available_energy,charging_status,motor_temp,power_request,gps_lat,gps_lon,gps_alt,gps_speed,gps_sats,gps_valid,is_charging
1755515393.164407131,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,0.0,0.0,0x00,0,0.0,33.986111,-6.724804,186.3,0.1,0,12,NO
1755515398.187134593,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986111,-6.724803,186.9,0.1,0,12,NO
1755515403.229017373,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986115,-6.724804,187.2,0.0,0,12,NO
1755515408.253736956,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986115,-6.724805,187.5,0.0,0,12,NO
1755515413.292069150,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986118,-6.724803,186.6,0.0,0,12,NO
1755515418.330200896,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986122,-6.724795,186.3,0.0,0,12,NO
1755515423.324413805,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986126,-6.724790,186.4,0.1,0,12,NO
1755515428.383367791,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986126,-6.724777,187.1,0.1,0,12,NO
1755515433.420321402,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,0.0,0.0,0x00,0,0.0,33.986126,-6.724765,187.5,0.0,0,12,NO
1755515438.428760613,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,0.0,0.0,0x00,0,0.0,33.986126,-6.724759,187.9,0.2,0,12,NO
1755515443.461455069,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,0.0,0.0,0x00,0,0.0,33.986126,-6.724749,190.5,0.1,0,12,NO
1755515448.496840945,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986122,-6.724741,192.7,0.3,0,12,NO
1755515453.520907933,88,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986122,-6.724740,193.6,0.2,0,12,NO
1755515458.567189764,88,33.5,Unknown,0,0,0,0.0,0.0,3599.0,32,57.5,5.3,0x0A,0,0.0,33.986126,-6.724741,192.3,0.0,0,12,YES
1755515463.601867700,88,33.0,Unknown,0,0,0,0.0,0.0,3599.0,33,57.5,5.3,0x0A,0,0.0,33.986126,-6.724743,189.7,0.1,0,12,YES
