timestamp,soc,current,gear,motor_active,accelerator,brake,cap_voltage,motor_speed,odometer,range,battery_voltage,available_energy,charging_status,motor_temp,power_request,gps_lat,gps_lon,gps_alt,gps_speed,gps_sats,gps_valid,is_charging
1755518290.329850282,91,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986298,-6.725016,145.8,0.1,0,12,YES
1755518295.352555461,91,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986298,-6.725018,144.6,0.0,0,12,YES
1755518300.366625461,91,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986298,-6.725025,141.9,0.0,0,12,YES
1755518305.392266218,91,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986305,-6.725026,141.8,0.1,0,12,YES
1755518309.612176687,91,32.5,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986305,-6.725027,142.0,0.0,0,12,YES
1755518314.912758710,91,16.8,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986305,-6.725029,142.3,0.1,0,12,YES
1755518320.049014338,91,-0.5,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986298,-6.725033,141.3,0.1,0,12,NO
1755518325.526601502,91,33.2,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986298,-6.725034,139.8,0.2,0,12,YES
1755518330.065775863,91,32.8,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986298,-6.725035,139.8,0.1,0,12,YES
1755518335.570611136,92,32.8,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986290,-6.725035,139.7,0.1,0,12,YES
1755518340.103111139,92,32.8,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986286,-6.725029,138.1,0.1,0,12,YES
1755518345.629925610,92,32.5,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986282,-6.725024,137.1,0.1,0,12,YES
1755518350.180151861,92,32.5,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986279,-6.725016,136.9,0.0,0,12,YES
1755518355.689254300,92,32.5,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986275,-6.725014,137.5,0.0,0,12,YES
1755518360.713414181,92,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986271,-6.725012,137.9,0.1,0,12,YES
1755518365.758548710,92,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986271,-6.725011,137.9,0.0,0,12,YES
1755518370.764387432,92,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986267,-6.725011,135.8,0.0,0,12,YES
1755518375.795371929,92,32.5,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986267,-6.725011,135.4,0.0,0,12,YES
1755518380.836853255,92,32.5,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986263,-6.725011,133.9,0.0,0,12,YES
1755518385.869388980,92,32.5,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986263,-6.725015,133.3,0.0,0,12,YES
1755518390.889058606,92,32.5,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986263,-6.725016,132.3,0.0,0,12,YES
1755518395.922989410,92,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986267,-6.725012,130.1,0.0,0,12,YES
1755518400.947886850,92,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986267,-6.725008,128.5,0.0,0,12,YES
1755518405.976176389,92,32.5,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986271,-6.725007,127.8,0.0,0,13,YES
1755518410.996065652,92,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986271,-6.725006,127.3,0.0,0,13,YES
1755518416.061536994,92,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986275,-6.725005,126.4,0.0,0,13,YES
1755518420.090482431,92,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,57.5,5.5,0x0A,0,0.0,33.986275,-6.725005,126.2,0.0,0,13,YES
1755518426.108901139,93,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986279,-6.725006,126.1,0.1,0,13,YES
1755518431.093780669,93,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986282,-6.725006,124.6,0.1,0,13,YES
1755518435.992681871,93,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986282,-6.725005,122.9,0.0,0,13,YES
1755518441.169964722,93,32.2,Unknown,0,0,0,0.0,0.0,3599.0,34,0.0,0.0,0x00,0,0.0,33.986282,-6.725005,122.5,0.0,0,13,YES
